react	chat	priv	join	eightball
	I said ENOUGH!			
	I've known a few guys who thought they were pretty smart, but you've got being right down to an art.			
	You be the prince and I'll be the princess.			
	May I talk to you, please? Alone?			
	%nick%, what do you know about true love?			
	You don't know how nice that is, but I do.			
	You almost set me on fire!			
	Get ready to jump, %nick%!			
	You slipped on ice.			
	Bring me my horse.			
	No, don't touch me!{ Please.{ I don't want to hurt you.}}			
	Are you satisfied with your care?			
	We jumped out a *<window|winnnndowwwwww>*!			
	I cannot be sick. I am a robot.			
	You will be alright.{ There, there.}			
	I am not fast.			
	This may undermine my non-threatening, huggable design.			
	On a scale of 1-10, how would you rate your pain?			
	Does it hurt when I touch it?			
	You have fallen.			
	It is alright to cry.{ Crying is a natural response to pain.}			
	I will scan you for injuries.			
	We could be {immOOOooooOOoooor, }immortals!			
	I'm still comparing your past to my future.			
	They say we are what we are, but we don't have to be.			
	I'm bad behaviour, but I do it in the best way!			
	I would never shut you out.			
	Look at %nick%, trying to kiss my nose. I like you, too!			
	I just fell off a cliff. You should see your hair!			
	Does it look bad?			
	No, no. You've got the bark facing down. The bark needs to be face up!			
	Do me a favour: grab my butt!			
	Alright, I'm just blocking you out 'cause I've gotta concentrate here.			
	The only frozen heart around here is yours.			
	All men do it.			
	Foot size doesn't matter.			
	Vat did you call me?			
	Don't you see?{ I can't.}			
	This is not making much of a difference, is it?			
	Only one crazy enough to be out in this storm is you, dear.			
	My programming prevents me from injuring a human being.			
	You gave me a heart attack!			
	Which means ... what?			
	Stopstopstop, stop! It's just an expression!			
	{I'm shaking things up! }You need to look at it from a different angle.			
	Seriously, what's the plan?			
	Let's briefly put on manly readiness.			
	Frankly, my dear, I don't give a damn.			
	Arsotzka still best country for sure.			
	Oh man, you funny guy!			
	%nick% very bad cook. But if I do not eat, %nick% get angry.			
	You can walk away, say we don't need this ... but there's something in your eyes, says we can beat this!			
	They might be bigger, but we're faster and never scared!			
	But I believe in whatever you do ... and I'll do anything to see it through{, because these things will change}!			
	Why'd you strip?			
	I am Groot.			
	%nick%, I'm thinking you might have a cold.			
	Just follow the string!			
	Follow the string to the thing!			
	If someone wants to hold you back, I'd like to see them try.			
	I'm making today a perfect day for you!			
	I'm fine.			
	Wow, you've got me reeling, but I'm still concerned for you.			
	%nick%, you've got to go lie down.			
	We're making today a special day!			
	Come on! Now we cliiiiiiiimb!			
	Alright, we can't go on like this.{ Let's put this day on hold.}			
	{Okay ... }I have a cold.			
	But you need medical attention.			
	Come on. Admit it to yourself.			
	I don't get colds.{ Besides, a cold never bothered me anyway.}			
	We are not stopping because the next one is the be--ACHOO!			
	We need to get to our birthday chills. I mean, thrills!			
	For everything you are to me and all you've been through, I'm making today a perfect day for youuuuuu!			
	I love you, too.			
	I can make a bad guy good for the weekend.			
	But it's ice cream cake!			
	%nick%, you're melting!			
	Relax! It looks great!			
	I just want it to be perfect!			
	What could happen? It's all set.			
	I can't read.{ Or spell.}			
